ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,Bears Edible Fruit,Type of Edible Fruit,COUNT,LATITUDE,LONGITUDE,LOCATION,Point Location
193739,ORMSBY PLACE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,12,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.4971021,-113.6419003,"(53.49710209743771, -113.64190029006768)",POINT (-113.64190029006768 53.49710209743771)
279630,CUMBERLAND,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,16,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.61104747,-113.5446126,"(53.61104747060076, -113.54461261335128)",POINT (-113.54461261335128 53.61104747060076)
382212,SUMMERSIDE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,6,65,2011-06-01,Parks,Yes,Schubert Chokecherry,1,53.41322772,-113.4786031,"(53.41322771868244, -113.47860309337311)",POINT (-113.47860309337311 53.41322771868244)
541429,SECORD,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,11,65,2014-05-31,Parks,Yes,Schubert Chokecherry,1,53.53307434,-113.7048396,"(53.53307433690258, -113.70483958230525)",POINT (-113.70483958230525 53.53307433690258)
336824,CANON RIDGE,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,15,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.5838724,-113.3826496,"(53.58387239849375, -113.3826496280707)",POINT (-113.3826496280707 53.58387239849375)
487415,ROSSDALE,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,20,65,1989-12-31,Parks,Yes,Schubert Chokecherry,1,53.53420184,-113.4914028,"(53.534201840756374, -113.49140284835704)",POINT (-113.49140284835704 53.534201840756374)
457772,LEGER,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,19,65,1989-12-31,Parks,Yes,Schubert Chokecherry,1,53.45728762,-113.5713163,"(53.45728761768537, -113.57131634193375)",POINT (-113.57131634193375 53.45728761768537)
379183,OXFORD,Boulevard,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,13,65,2007-06-01,Parks,Yes,Schubert Chokecherry,1,53.62409517,-113.547289,"(53.62409517464812, -113.54728903881458)",POINT (-113.54728903881458 53.62409517464812)
245131,HENDERSON ESTATES,Centre Median,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,21,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.47241442,-113.6016361,"(53.4724144191235, -113.60163610568058)",POINT (-113.60163610568058 53.4724144191235)
325467,CRESTWOOD,Park,Prunus virginiana Schubert,Chokecherry,Prunus,virginiana,Schubert,12,65,1990-01-01,Parks,Yes,Schubert Chokecherry,1,53.53371672,-113.5717269,"(53.53371672093079, -113.57172690108337)",POINT (-113.57172690108337 53.53371672093079)
