Ministry,Year,PositionTitle,PositionClass,BaseSalary,CashBenefits,NonCashBenefits,Severance
Advanced Education,2020,ED Strategic Policy & Planning,Assistant Deputy Minister,148725.46,0,30874.5,0
Advanced Education,2020,"Dir.,Strategic Int Pol Branch",Senior Manager Zone 2,117727.74,0,22550.86,0
Advanced Education,2020,"Executive Director, Innovation",Executive Manager 1,133591.64,0,28524.43,0
Advanced Education,2020,"Dir, AIT Industry Prog & Stand",Senior Manager Zone 2,133317.86,0,28502.65,0
Advanced Education,2020,"Director, Strategy & Planning",Senior Manager Zone 1,124626.61,6139.24,26225.56,0
Advanced Education,2020,"Sr Mgr, ATOMS Shared Svcs",Senior Manager Zone 1,118938.56,0,26499.22,0
Advanced Education,2020,"DM, Advanced Education",Snr Officer Deputy Minister,285877.28,7969.26,60870.31,0
Advanced Education,2020,"AIT Officer, Area Supv",Stds Safety and Compliance 6,116604.26,109.76,21858.22,0
Advanced Education,2020,Associate Regional Director,Senior Manager Zone 1,120731.77,0,22592.61,0
Advanced Education,2020,"Exec Dir., ASA Policy & Stand",Executive Manager 1,165318.77,0,31323.95,0
Advanced Education,2020,"Sr Mgr, Business Integration",Senior Manager Zone 1,115724.7,0,25702.6,0
Advanced Education,2020,"Sr. Dir.,StrategicPolicy",Senior Manager Zone 2,133317.86,0,29333.74,0
Advanced Education,2020,Dir Financial and Admin Oper,Senior Manager Zone 2,138445.48,15736.45,27559.4,0
Advanced Education,2020,Dir. Capital Plan & Grant Mgmt,Senior Manager Zone 2,133317.87,0,28149.19,0
Advanced Education,2020,"ADM, ASA",Assistant Deputy Minister,180466.78,11855.28,36800.08,0
Advanced Education,2020,Cross Ministry & Intergov Stra,Senior Manager Zone 2,133317.86,250,28039.05,0
Advanced Education,2020,"Dir, Strat Research & Analysis",Senior Manager Zone 1,115733.8,0,24974.58,0
Advanced Education,2020,"Executive Director, Transformation",Executive Manager 1,132056.23,0,28061.07,0
Advanced Education,2020,"Director, Business Integration",Senior Manager Zone 2,124647.55,0,27474.22,0
Advanced Education,2020,"Dir, Board Intergovtl Conn",Senior Manager Zone 2,133317.86,0,28703.5,0
Advanced Education,2020,Director Post-Sec Programs,Senior Manager Zone 2,123874.14,0,27373.08,0
Advanced Education,2020,"Dir, Client Svcs",Senior Manager Zone 2,133317.86,0,25994.56,0
Advanced Education,2020,Sr. Manager CAQC Secretariat,Senior Manager Zone 1,115724.7,0,26051.5,0
Advanced Education,2020,"Dir, Operational Data & Info",Senior Manager Zone 1,113829.82,0,24706.65,0
Advanced Education,2020,Chief of Staff,Senior Manager Zone 2,146649.62,0,26232.59,0
Advanced Education,2020,AIT Officer,Stds Safety and Compliance 4,115884.47,6000,19720.29,0
Advanced Education,2020,"AIT Officer, Area Supv",Stds Safety and Compliance 6,116436.76,0,23825.35,0
Advanced Education,2020,"Director, Strategy & Planning",Senior Manager Zone 2,137932.71,0,24954.62,0
Advanced Education,2020,"Senior Manager, IPS",Senior Manager Zone 1,118938.56,16910.1,26791.66,0
Advanced Education,2020,Dir Business Transformations,Senior Manager Zone 2,138445.48,0,28703.51,0
Advanced Education,2020,"Director, Student Services",Senior Manager Zone 2,133317.86,400,7328.46,0
Advanced Education,2020,A.D.M.  ALCP,Assistant Deputy Minister,200224.18,0,42978.92,0
Advanced Education,2020,Director Financial Planning,Senior Manager Zone 2,138445.48,0,24923.63,0
Advanced Education,2020,"Sr Manager, Learner Pathways",Senior Manager Zone 1,118938.56,0,25426.33,0
Advanced Education,2020,"Dir.,Strategic Planning & Eval",Executive Manager 1,133317.86,0,28149.18,0
Advanced Education,2020,AIT Officer,Stds Safety and Compliance 4,116611.23,0,7085.96,0
Advanced Education,2020,"Dir, Legislation & Governance",Senior Manager Zone 1,118938.56,27447.36,26892.98,0
Advanced Education,2020,Senior Investigator,Program Services 4,114348.21,0,22975.18,0
Advanced Education,2020,Executive Director Student Financial Services,Executive Manager 1,126200.73,0,26765.69,0
Advanced Education,2020,"Dir., Division Operations",Senior Manager Zone 1,118938.56,0,26678.36,0
Advanced Education,2020,"Dir,Foundational Learning Supp",Senior Manager Zone 1,128187.41,0,26695.58,0
Advanced Education,2020,Minister's Chief of Staff,Ministerial Ministerial EA,122383.35,0,25681.47,0
Advanced Education,2020,"Dir, Strategy & Coordination",Senior Manager Zone 2,128697.69,0,26103.29,0
Advanced Education,2020,Associate Regional Director,Senior Manager Zone 1,118938.56,0,24032.6,0
Advanced Education,2020,Sr. Mgr Agency Comp,Senior Manager Zone 1,115724.7,0,23519.73,0
Advanced Education,2020,"Exec Dir, Operations",Executive Manager 1,152069.12,0,30314.4,0
Advanced Education,2020,"ADM, Strategic&CorpSvcs",Assistant Deputy Minister,177084.62,0,32637.92,0
Advanced Education,2020,"ED,AIT Op & Client Connections",Executive Manager 1,143983.32,0,30206.29,0
Advanced Education,2020,Sr Manager Legislative Svcs,Senior Manager Zone 1,118938.56,0,26678.36,0
Advanced Education,2020,Associate Regional  Director,Senior Manager Zone 1,118938.56,0,23969.42,0
Advanced Education,2020,"Dir, Portfolio Mgmt, Acct&Ops",Senior Manager Zone 2,126348.04,0,25714.67,0
Advanced Education,2020,"ADM, ASA",Assistant Deputy Minister,197737.28,0,41358.2,0
Advanced Education,2020,"Dir, Governance & Legislation",Senior Manager Zone 2,133317.86,0,28703.5,0
Agriculture and Forestry,2020,"Director, Strategic Policy Analysis and Research",Senior Manager Zone 2,133317.86,0,26032.52,0
Agriculture and Forestry,2020,Triticale/Wheat Plant Breeder,Scientific 4,121935.82,0,23656.6,0
Agriculture and Forestry,2020,Dairy Research Scientist,Scientific 5,135716.52,112.3,26304.31,0
Agriculture and Forestry,2020,Scientist,Program Services 5,121935.82,0,24051.98,0
Agriculture and Forestry,2020,"Director, Emergency Management",Senior Manager Zone 1,118938.56,150,24285.54,0
Agriculture and Forestry,2020,"Director, Rural Policy and Pro",Senior Manager Zone 1,124626.64,0,21514.75,0
Agriculture and Forestry,2020,Livestock Air Quality Speciali,Agrologist Level 3,21714.49,12439.13,5654.08,136991.78
Agriculture and Forestry,2020,"ED, Food Safety",Executive Manager 1,138654.1,0,27061.34,0
Agriculture and Forestry,2020,"Director, Intl Market Dev",Senior Manager Zone 2,30252.9,8828.69,7743.13,190337.25
Agriculture and Forestry,2020,Pulse & Special Crops Res Sci,Scientific 5,133314.1,1515.72,23686.92,0
Agriculture and Forestry,2020,Forest Area Manager,Senior Manager Zone 2,134957.02,539.37,24141.94,0
Agriculture and Forestry,2020,Forest Management Specialist,Scientific 4,119218.77,0,23652.65,0
Agriculture and Forestry,2020,"Manager, Prov Whse & Svc Ctr",Senior Manager Zone 1,122988.56,350,22925.61,0
Agriculture and Forestry,2020,"Ops Mgr, South",Senior Manager Zone 1,116906.4,0,22057.77,0
Agriculture and Forestry,2020,"Executive Director, Policy Services, Planning and Innovation",Executive Manager 1,147527.56,0,28027.32,0
Agriculture and Forestry,2020,"Dir, Agri-Food Laboratories",Senior Manager Zone 2,133317.86,0,25042.44,0
Agriculture and Forestry,2020,Crop Assurance Extension Spec,Agrologist Level 2,108936.51,22056.17,5362.42,116477.83
Agriculture and Forestry,2020,Assistant Deputy Minister,Assistant Deputy Minister,129425.27,31357.83,26130.38,0
Agriculture and Forestry,2020,"Director, Program Delivery",Senior Manager Zone 1,26074.99,22527.66,7767.06,169807.67
Agriculture and Forestry,2020,Head of Research,Senior Manager Zone 1,118938.56,0,22898.48,0
Agriculture and Forestry,2020,"Director, Rural Utilities",Senior Manager Zone 2,115724.7,0,23831.74,0
Agriculture and Forestry,2020,"Res Scientist, Pulse Path",Scientific 5,129834.84,0,2768.66,0
Agriculture and Forestry,2020,Crop Extension Specialist,Agrologist Level 2,0,0,0,142792.26
Agriculture and Forestry,2020,"Manager,  Basin Water Mgmt",Manager Zone 2,119923.56,0,19656.45,0
Agriculture and Forestry,2020,"ED, Intergov Relations & Trade",Executive Manager 1,141324.04,0,26051.63,0
Agriculture and Forestry,2020,Dir. Corp Planning & Reporting,Senior Manager Zone 1,118938.56,0,24284.54,0
Agriculture and Forestry,2020,Livestock Welfare Research Sci,Scientific 4,121004.77,0,23921.57,0
Agriculture and Forestry,2020,Assistant Deputy Minister,Assistant Deputy Minister,200404.88,0,41448.52,0
Agriculture and Forestry,2020,Assistant Deputy Minister,Assistant Deputy Minister,161435.6,0,31666.99,0
Agriculture and Forestry,2020,"Mgr, Inspection Svcs",Manager Zone 2,115322.82,837.56,22615.33,0
Agriculture and Forestry,2020,"Policy Analyst, AEPA",Program Services 4,118142.82,0,21553.63,0
Agriculture and Forestry,2020,Forest Hydrology Specialist,Scientific 4,120906.53,98.24,23203.43,0
Agriculture and Forestry,2020,"Dir, Meat & Dairy Inspection",Senior Manager Zone 2,120409.64,0,23058.12,0
Agriculture and Forestry,2020,Farmers' Advocate,Executive Manager 1,205076.04,0,7966.93,0
Agriculture and Forestry,2020,"Director, Cropping Systems",Senior Manager Zone 2,0,0,0,194735.28
Agriculture and Forestry,2020,Tech Development Engineer,Engineering & Related Level 2,23732.75,13840.51,6351.12,140064.85
Agriculture and Forestry,2020,"Director, Crop Assurance Ext",Senior Manager Zone 2,24554.4,22514.49,7801.56,213623.28
Agriculture and Forestry,2020,"Director, Plant & Bee Health",Senior Manager Zone 2,127858.38,0,24154.41,0
Agriculture and Forestry,2020,Diagnostic Unit Lead,Scientific 4,117872.78,0,22408.85,0
Agriculture and Forestry,2020,"Sr Scientist, Bio-Processing",Scientific 4,129625.03,3900.8,24886.04,0
Agriculture and Forestry,2020,"Manager, Animal Welfare",Senior Manager Zone 1,118938.56,0,24105.4,0
Agriculture and Forestry,2020,Sr Reforestation Spec,Scientific 4,126075.48,11067.98,23422.54,0
Agriculture and Forestry,2020,"Dir, Animal Welfare",Senior Manager Zone 2,26663.57,12009.93,4609.39,133242.01
Agriculture and Forestry,2020,Forest Area Manager,Senior Manager Zone 2,118088.74,0,23307.02,0
Agriculture and Forestry,2020,Forest Area Manager,Senior Manager Zone 2,120585.38,0,21894.46,0
Agriculture and Forestry,2020,"Mgr, Timber Disposition Rev",Manager Zone 2,0,0,0,169960.35
Agriculture and Forestry,2020,Process Operations Manager,Manager Zone 2,2472.75,17445.68,759.18,186445.35
Agriculture and Forestry,2020,"Mgr, Agri-Environmental Pol",Senior Manager Zone 2,29227.38,32611.6,4580.99,190337.25
Agriculture and Forestry,2020,"ED, Food & Bio Processing",Executive Manager 1,164060.78,5685.12,30939.78,0
Agriculture and Forestry,2020,"Director, Operations",Senior Manager Zone 2,133317.86,0,24923.62,0
Agriculture and Forestry,2020,"Dir, Strat Forest Initiatives",Senior Manager Zone 2,130384.28,0,24859.55,0
Agriculture and Forestry,2020,Executive Director,Executive Manager 1,0,0,0,260226.05
Agriculture and Forestry,2020,Senior Crop Scientist,Scientific 5,130334.34,11451.77,25548.23,0
Agriculture and Forestry,2020,Research Scientist,Scientific 4,121935.82,0,23656.6,0
Agriculture and Forestry,2020,Prov. Irrigation Specialist,Agrologist Level 3,22095.45,23462.98,6408.74,141410.87
Agriculture and Forestry,2020,"ED, Livestock& Crop Research",Executive Manager 1,154867.24,0,28140.89,0
Agriculture and Forestry,2020,"Director, Plant & Bee Policy",Senior Manager Zone 2,133317.86,0,26108.83,0
Agriculture and Forestry,2020,Biology Unit Head,Senior Manager Zone 1,114709.92,0,22127.57,0
Agriculture and Forestry,2020,"Unit Manager, Animal Hlth Prog",Senior Manager Zone 1,115724.7,0,23831.74,0
Agriculture and Forestry,2020,Senior Biometrician,Scientific 5,130833.84,0,24559.06,0
Agriculture and Forestry,2020,"Director, Fin Plan & Policy",Senior Manager Zone 2,114046.14,0,23595.53,0
Agriculture and Forestry,2020,Watershed Management Engineer,Engineering & Related Level 2,23732.75,19441.41,6785.18,154554.32
Agriculture and Forestry,2020,Forest Area Manager,Senior Manager Zone 2,127865.38,6275.88,22530.16,0
Agriculture and Forestry,2020,"Director, Livestock Systems",Senior Manager Zone 2,25823.88,30215.99,8296.85,84490.95
Agriculture and Forestry,2020,Forest Area Manager,Senior Manager Zone 2,139007.02,6000,24189.18,0
Agriculture and Forestry,2020,"Dir, Grant Programs & Eval",Senior Manager Zone 2,121708.34,0,23288.35,0
Agriculture and Forestry,2020,Plant Breeder,Scientific 5,130833.84,0,25548.23,0
Agriculture and Forestry,2020,"Director, Wildfire Operations",Senior Manager Zone 2,137967.87,500,28423.16,0
Agriculture and Forestry,2020,Veterinary Toxicologist,Veterinarian Level 3,136261.58,0,25818.4,0
Agriculture and Forestry,2020,"Director, Env.Extension & Prog",Senior Manager Zone 2,123960.8,0,22813.33,0
Agriculture and Forestry,2020,Public Health Veterinarian,Veterinarian Level 3,132510.05,130.1,22582.64,0
Agriculture and Forestry,2020,Extension Engineer,Engineering & Related Level 4,121596.54,0,22771.46,0
Agriculture and Forestry,2020,"ED, Crop Health & Assurance",Executive Manager 1,141455.87,0,27455.76,0
Agriculture and Forestry,2020,"Dir, Envir Strat & Research",Senior Manager Zone 2,27931.6,16899.55,4147.14,181898.39
Agriculture and Forestry,2020,"Dir, Trade and Transportation",Senior Manager Zone 2,133317.86,0,24923.62,0
Agriculture and Forestry,2020,Forest Area Manager,Senior Manager Zone 2,117580.96,10474.21,21801.18,0
Agriculture and Forestry,2020,Senior Statistician,Program Services 4,133484.26,0,23858.85,0
Agriculture and Forestry,2020,Forage Ext Specialist,Agrologist Level 3,0,0,0,157106.25
Agriculture and Forestry,2020,New Venture Economist,Agrologist Level 2,0,0,0,138775.8
Agriculture and Forestry,2020,Dir & Chief Prov Veterinarian,Senior Manager Zone 2,160518.54,0,30034.59,0
Agriculture and Forestry,2020,"Director, Wildfire Prevention",Senior Manager Zone 2,136800,0,28530.58,0
Agriculture and Forestry,2020,Project Engineer,Engineering & Related Level 2,23732.75,4980.29,6067.23,140064.85
Agriculture and Forestry,2020,"ED, Forest Stewardship & Trade",Executive Manager 1,144083.68,0,29825.26,0
Agriculture and Forestry,2020,Commercialization Manager,Manager Zone 2,0,0,0,165179.7
Agriculture and Forestry,2020,"Director, Crop Genetics",Senior Manager Zone 2,127616.58,0,24120.87,0
Agriculture and Forestry,2020,Beef Research Scientist,Scientific 4,121935.82,0,24051.98,0
Agriculture and Forestry,2020,"Food Scientist, Dairy & Crops",Scientific 3,119072.26,0,20918.66,0
Agriculture and Forestry,2020,Senior Trade Policy Analyst,Manager Zone 2,115394.99,0,22069.34,0
Agriculture and Forestry,2020,"ADM, Forestry Division",Assistant Deputy Minister,199639.44,26874.54,10828.11,0
Agriculture and Forestry,2020,"Director, 4-H",Senior Manager Zone 2,144578.64,0,24999.93,0
Agriculture and Forestry,2020,"Dir, CAP Secretariat",Senior Manager Zone 2,133317.86,0,26498.7,0
Agriculture and Forestry,2020,"Director, Business Services",Senior Manager Zone 2,136667.86,6968.6,27480.16,0
Agriculture and Forestry,2020,"ED, Industry Gov & Research",Executive Manager 1,164060.79,0,31526.19,0
Agriculture and Forestry,2020,Environmental Program Spec,Agrologist Level 2,346.25,0,36.25,114233.56
Agriculture and Forestry,2020,Feed Scientist,Scientific 4,120780.03,224.74,23338.59,0
Agriculture and Forestry,2020,"Dir, Cropping Systems&Programs",Senior Manager Zone 2,139695.65,0,24498.68,0
Agriculture and Forestry,2020,Dir.Facilities and Fleet Serv,Senior Manager Zone 1,115724.7,0,23831.74,0
Agriculture and Forestry,2020,"Mgr, Agri-Environmental Ext",Manager Zone 2,23078.84,7993.99,6169.18,131228.67
Agriculture and Forestry,2020,Provincial Apiculturist,Agrologist Level 3,118430.8,0,18385.01,0
Agriculture and Forestry,2020,"Dir, Eng. & Climate Services",Senior Manager Zone 2,115962.6,0,22202.34,0
Agriculture and Forestry,2020,Business Management Specialist,Agrologist Level 2,18004.84,9667.22,3453.78,128527.26
Agriculture and Forestry,2020,"Director, BWM & Ir Secretariat",Senior Manager Zone 2,115896.04,0,22192.45,0
Agriculture and Forestry,2020,Climate Change Specialist,Agrologist Level 2,21467.31,5006.97,5121.57,126519.02
Agriculture and Forestry,2020,"Mgr, Investment Attraction",Manager Zone 2,115395,0,22623.67,0
Agriculture and Forestry,2020,"Executive Director, AH",Executive Manager 1,143983.07,0,27182.5,0
Agriculture and Forestry,2020,Plant Breeder Res Scientist,Scientific 4,121935.82,0,24051.98,0
Agriculture and Forestry,2020,Soil/Water Research Scientist,Scientific 4,119608.2,0,23739.98,0
Agriculture and Forestry,2020,"Unit Head, Pulse Crops",Manager Zone 2,23079,21930.74,7592.27,70168.45
Agriculture and Forestry,2020,Soil and Water Specialist,Agrologist Level 2,20082.33,8087.85,2578.82,128527.26
Agriculture and Forestry,2020,"Manager, Pathology Unit",Senior Manager Zone 1,29734.64,10925.31,8691.88,27052.24
Agriculture and Forestry,2020,"Director, Comp & Mkt Analysis",Senior Manager Zone 1,116957.16,0,21498.03,0
Agriculture and Forestry,2020,Program Manager CAP/ICG,Manager Zone 2,0,0,0,98250.6
Agriculture and Forestry,2020,"Dir, Animal Health",Senior Manager Zone 2,154620.18,0,28202.24,0
Agriculture and Forestry,2020,"Dir, Livestock Traceability",Senior Manager Zone 2,26663.57,31711.26,8128.96,126242
Agriculture and Forestry,2020,"Mgr, Marketing",Manager Zone 2,0,0,0,117373.2
Agriculture and Forestry,2020,"Mgr, Animal Health Surveill",Senior Manager Zone 1,147176.64,0,26364.02,0
Agriculture and Forestry,2020,"Research Scien, Value Add Meat",Scientific 5,130075.98,757.86,25548.23,0
Agriculture and Forestry,2020,"Dir, Regulatory Excellence",Senior Manager Zone 2,130979.42,0,28059.22,0
Agriculture and Forestry,2020,"Dir, Forest Resource Analysis",Senior Manager Zone 2,107476.85,29189.94,7102.7,20166.48
Agriculture and Forestry,2020,Dir. Bio-Ind. Opportunities,Senior Manager Zone 2,133317.86,0,25679.7,0
Agriculture and Forestry,2020,Beef Research Scientist,Scientific 4,121935.82,0,24051.98,0
Agriculture and Forestry,2020,"Mgr, Land Use",Manager Zone 2,0,0,0,97286.03
Agriculture and Forestry,2020,Veterinary Pathologist,Veterinarian Level 3,124374.07,223.24,23312.47,0
Agriculture and Forestry,2020,"Act Mgr, Americas/Euro Union",Program Services 4,120751.85,2126.75,21944.55,0
Agriculture and Forestry,2020,"Director, Economics",Senior Manager Zone 1,117844.62,0,23032.05,0
Agriculture and Forestry,2020,"ED, Rural Prgm, Fac&Emerg Serv",Executive Manager 1,171118.53,850,8475.4,0
Agriculture and Forestry,2020,Senior Geneticist,Scientific 4,121935.82,0,24051.98,0
Agriculture and Forestry,2020,"Dir, Forest Health&Adaptation",Senior Manager Zone 2,118157.78,0,26173.3,0
Agriculture and Forestry,2020,Forest Area Manager,Senior Manager Zone 2,131057.02,13828.83,25383.69,0
Agriculture and Forestry,2020,Chief of Staff,Ministerial Ministerial EA,120209.85,0,26112.92,0
Agriculture and Forestry,2020,"Unit Lead, Agri-Envir Sustain",Engineering & Related Level 2,23732.75,13911.73,6172.54,130405.2
Agriculture and Forestry,2020,Livestock Ext Specialist,Agrologist Level 2,20082.33,9711.63,4993.17,128527.26
Agriculture and Forestry,2020,Forest Area Manager,Senior Manager Zone 2,132146.04,0,23625.36,0
Agriculture and Forestry,2020,Commercial Horticulture Spec,Agrologist Level 2,18004.84,10893.17,5600.82,136560.21
Agriculture and Forestry,2020,Forest Ecology Specialist,Scientific 4,120539.24,1396.58,24051.98,0
Agriculture and Forestry,2020,"ED, Business Dev & Programs",Executive Manager 1,133743.84,24360.16,26541.15,0
Agriculture and Forestry,2020,New Venture Specialist,Agrologist Level 2,0,0,0,142792.26
Agriculture and Forestry,2020,"Director, Policy Advice, Coordination and Engagement",Senior Manager Zone 1,118573.34,0,24207.74,0
Agriculture and Forestry,2020,"ED, Wildfire Mgmt Branch",Executive Manager 1,164060.78,0,33418.85,0
Agriculture and Forestry,2020,Water Quality Engineer,Engineering & Related Level 2,23732.75,12438.66,6295.04,154554.32
Agriculture and Forestry,2020,"Dir, Comp Innov & Market Div",Senior Manager Zone 2,5233.31,29513.22,4257.84,215231.56
Agriculture and Forestry,2020,"Scientist, Residue Chemist",Scientific 4,121935.82,0,24808.06,0
Agriculture and Forestry,2020,Deputy Minister,Snr Officer Deputy Minister,307867.83,0,65639.29,0
Agriculture and Forestry,2020,Wildfire Science Coordinator,Scientific 4,121004.77,0,25956.46,0
Agriculture and Forestry,2020,Veterinary Epidemiologist,Veterinarian Level 3,116320.49,30.66,21879.19,0
Agriculture and Forestry,2020,Forest Area Manager,Senior Manager Zone 2,118688.74,0,22554.96,0
Agriculture and Forestry,2020,Economics Extension Spec,Agrologist Level 3,0,0,0,108496.27
Agriculture and Forestry,2020,Chemistry and Food Unit Head,Senior Manager Zone 1,115724.71,0,21775.67,0
Agriculture and Forestry,2020,"Dir, Forest Program Mgmt",Senior Manager Zone 2,26663.57,16040.58,8892.46,226025.49
Agriculture and Forestry,2020,"Dir, Forest Economics & Trade",Senior Manager Zone 2,119769.76,0,25378.62,0
Agriculture and Forestry,2020,"ED, Irrigation & Farm Water",Executive Manager 1,162867.75,2190.71,28110.54,0
Agriculture and Forestry,2020,Cereal Pathologist,Scientific 4,121935.82,0,22443.37,0
Agriculture and Forestry,2020,Livestock Environment Engineer,Engineering & Related Level 2,2498.18,3166.09,1702.35,150690.37
Agriculture and Forestry,2020,Bio-Statistician,Scientific 5,130833.84,0,26304.31,0
Agriculture and Forestry,2020,Process Engineer,Engineering & Related Level 4,0,0,0,192870.82
Agriculture and Forestry,2020,Beef/Forage Specialist,Agrologist Level 2,19736.08,21999.34,6835.26,136560.21
Agriculture and Forestry,2020,Senior Fin Officer & Exec Dir,Executive Manager 1,155058.67,0,26881.55,0
Agriculture and Forestry,2020,Agronomist Forage Seed Crops,Agrologist Level 3,19809.71,8913.32,6126.94,109291.37
Agriculture and Forestry,2020,"Director, Fin Oper. & Rpting",Senior Manager Zone 2,133317.86,0,18999.81,0
Children's Services,2020,Mgr-Cont Imp&Perf Excellence,Senior Manager Zone 1,113806.42,0,23624.03,0
Children's Services,2020,Associate Statutory Director,Senior Manager Zone 1,122396.88,300,23036.31,0
Children's Services,2020,Dir-Field Ops Liaison,Senior Manager Zone 2,133317.86,38457.27,9586.85,0
Children's Services,2020,Dir-Perf Analysis & Improve,Senior Manager Zone 2,117966.02,0,23739.58,0
Children's Services,2020,Chief of Staff,Ministerial Ministerial EA,114300.94,12183.72,8436.14,0
Children's Services,2020,Sr Mgr-Youth in Transition/AF,Senior Manager Zone 1,114403.38,0,24959.06,0
Children's Services,2020,Associate Director,Senior Manager Zone 2,119196.22,0,22705.12,0
Children's Services,2020,Regional Director,Executive Manager 1,132307.24,6000,23851.6,0
Children's Services,2020,Sr Mr-Caregiver Supports,Senior Manager Zone 1,114089.48,250,23968.47,0
Children's Services,2020,Psychologist,Psychologist 2,114136.32,105.28,18615.67,0
Children's Services,2020,Ex Dir-Cl Office Statutory Dir,Executive Manager 1,152751.82,0,30251.66,0
Children's Services,2020,Deputy Minister,Snr Officer Deputy Minister,285877.28,0,68404.78,0
Children's Services,2020,Ex Dir-Cl Policy Pract and PD,Executive Manager 1,143591.9,0,28042.87,0
Children's Services,2020,Ex Dir-Early Childhood Dev,Executive Manager 1,132307.24,150,26875.66,0
Children's Services,2020,Regional Director,Executive Manager 1,143983.06,0,26017.33,0
Children's Services,2020,Dir - ECD Program/Policy Dev,Senior Manager Zone 2,114832.38,0,24845.82,0
Children's Services,2020,Ex Dir- Social Innovation,Executive Manager 1,170162.2,0,31193.41,0
Children's Services,2020,Regional Director,Executive Manager 1,135168.54,200,24801.02,0
Children's Services,2020,Associate Director,Senior Manager Zone 2,115724.7,0,22116.79,0
Children's Services,2020,Associate Director,Senior Manager Zone 1,115724.7,10725.88,22945.15,0
Children's Services,2020,Associate Director,Senior Manager Zone 2,115724.44,0,22116.53,0
Children's Services,2020,ADM-Early Childhood Services,Assistant Deputy Minister,146402,0,28730.88,0
Children's Services,2020,Mgr-Prog Support & Monitoring,Senior Manager Zone 1,118938.56,19723.68,23379.45,0
Children's Services,2020,Ex Dir-Indig and Comm Conn,Executive Manager 1,143983.32,0,27831.87,0
Children's Services,2020,Ex Dir-Policy,Executive Manager 1,139920.82,0,27017.39,0
Children's Services,2020,Associate Director,Senior Manager Zone 1,115724.7,10450.95,22381.47,0
Children's Services,2020,Associate Director,Senior Manager Zone 2,131229.02,0,23325.84,0
Children's Services,2020,Ex Dir-Policy,Executive Manager 1,148285.7,28157.53,28468.16,0
Children's Services,2020,Dir-Reg. and Community Serv,Senior Manager Zone 2,115724.7,16882.28,22935.79,0
Children's Services,2020,Associate Director,Senior Manager Zone 2,115724.7,0,22116.79,0
Children's Services,2020,Associate Director,Senior Manager Zone 2,130249.08,0,26823.56,0
Children's Services,2020,"Lead, Early Childhood Services",Executive Manager 2,206725.34,46359.23,32853.84,0
Children's Services,2020,Associate Statutory Director,Senior Manager Zone 2,133317.86,0,24544.89,0
Children's Services,2020,Associate Director,Senior Manager Zone 2,115724.7,0,22116.79,0
Children's Services,2020,Exec Director - PEIY,Executive Manager 1,125207.56,0,26301.64,0
Children's Services,2020,Dir-CI Priorities/Corp Initiat,Senior Manager Zone 2,120010.8,0,24220.72,0
Children's Services,2020,Dir-Capacity & Coordination,Senior Manager Zone 2,125387.37,0,21996.1,0
Children's Services,2020,Chief of Staff,Senior Manager Zone 2,133317.86,0,26638.02,0
Children's Services,2020,Associate Director,Senior Manager Zone 2,127407.28,200,23729.46,0
Children's Services,2020,Psychologist,Psychologist 2,114241.6,0,22435.35,0
Children's Services,2020,Associate Director,Senior Manager Zone 2,124982.78,0,23394.64,0
Children's Services,2020,Associate Director,Senior Manager Zone 1,115724.7,0,21943.38,0
Children's Services,2020,Ex Dir-Prog Info Eval and Perf,Executive Manager 1,157334.06,70524.89,28118.4,0
Children's Services,2020,Regional Director,Executive Manager 1,138649.16,0,25280.7,0
Children's Services,2020,Psychologist,Psychologist 2,114241.6,200,19741.95,0
Children's Services,2020,Associate Director,Senior Manager Zone 1,118938.56,4574.56,21759.73,0
Children's Services,2020,Associate Director,Senior Manager Zone 2,133317.86,0,25804.85,0
Children's Services,2020,Dir-Prov Trg & Workforce Dev,Senior Manager Zone 2,123696.04,0,25615.04,0
Children's Services,2020,ED-Reg Community Program Del,Executive Manager 1,164060.78,300,32698.12,0
Children's Services,2020,"ADM,Strategic Supp/Transitions",Assistant Deputy Minister,190436.58,0,35729.09,0
Children's Services,2020,Sr Mgr-Child Intervention,Senior Manager Zone 1,118938.56,250,22560.45,0
Children's Services,2020,Sr Mgr-Adoption Services,Senior Manager Zone 2,133317.86,0,8867.4,0
Children's Services,2020,Sr Mgr-Office Prov Director,Senior Manager Zone 2,133317.86,6000,25174.87,0
Children's Services,2020,Associate Director,Senior Manager Zone 2,115724.7,0,24083.82,0
Children's Services,2020,Associate Director,Senior Manager Zone 1,115724.7,12528.48,21644.73,0
Children's Services,2020,Regional Director,Executive Manager 1,128732.24,0,23641.23,0
Children's Services,2020,Mgr-Child Intervention,Manager Zone 2,118938.56,6000,22491.08,0
Children's Services,2020,"ADM,Child Intervention Div",Assistant Deputy Minister,189278.44,0,38626.59,0
Children's Services,2020,Associate Director,Senior Manager Zone 1,115724.7,0,22116.79,0
Children's Services,2020,"ED, Strat Neg, Contr & Procure",Executive Manager 1,154576.76,0,27251.87,0
Children's Services,2020,Associate Director,Senior Manager Zone 1,118938.56,0,5608.58,0
Communications and Public Engagement,2020,Chief of Staff,Senior Manager Zone 2,133317.86,0,26442.76,0
Communications and Public Engagement,2020,"Director, Communications",Senior Manager Zone 2,128796.98,0,28186.22,0
Communications and Public Engagement,2020,"Managing Director, CPE",ABC RABCCA Level 1,195869.49,4551.62,40158.27,0
