sourceid,dstid,hod,ride time
85,86,1,18.40466667
113,7,12,31.074
89,46,1,12.105
86,76,1,21.92166667
30,98,22,26.40466667
47,1,8,13.15016667
46,133,5,7.585833333
49,103,5,12.27033333
128,2,21,8.232833333
75,102,17,22.37016667
73,122,17,33.34383333
72,132,17,40.44483333
48,113,5,11.20516667
88,56,1,21.215
47,123,5,8.584666667
116,112,18,27.60766667
4,16,1,29.4645
1,46,1,27.02333333
114,132,18,31.5795
91,25,11,25.4945
37,28,22,18.60683333
18,26,23,3.719833333
85,14,10,20.43766667
82,44,10,22.36083333
12,86,23,5.6035
81,54,10,16.23166667
15,56,23,25.83383333
83,34,10,2.863833333
35,48,22,24.48333333
11,96,23,23.70066667
80,64,10,25.46133333
17,36,23,8.891833333
84,24,10,21.28783333
19,16,23,32.84383333
36,38,22,22.048
15,70,11,12.7845
18,40,11,18.58666667
13,76,23,15.89366667
13,90,11,19.88666667
141,90,9,18.83816667
19,30,11,17.01516667
82,92,21,26.96483333
85,62,21,8.995
38,125,21,19.76016667
83,82,21,13.116
26,100,3,2.126
93,128,13,10.61866667
87,42,21,24.17183333
39,115,21,8.981333333
92,138,13,22.16866667
86,52,21,24.5815
79,91,4,2.777333333
113,19,11,15.2855
111,39,11,15.41833333
24,120,3,17.8775
24,100,23,9.873166667
113,21,12,19.98366667
114,11,12,11.766
20,140,23,18.98516667
110,51,12,3.425333333
94,118,13,33.37
88,32,21,29.0655
109,126,11,10.05133333
108,136,11,2.520333333
23,130,3,21.183
112,31,12,12.89783333
40,24,14,17.87433333
84,72,21,22.47916667
22,120,23,21.47016667
111,41,12,24.29833333
94,1,4,12.44766667
95,108,13,10.00133333
89,22,21,22.45583333
14,66,23,16.52416667
41,14,14,36.07116667
22,140,3,20.14083333
23,110,23,27.188
5,71,13,22.76116667
9,31,13,19.99233333
8,126,23,22.2805
4,81,13,24.877
6,61,13,20.119
21,130,23,21.16483333
105,23,7,36.707
100,73,7,32.5505
102,53,7,22.02816667
135,54,4,17.24633333
138,24,4,8.145833333
106,13,7,14.58183333
131,94,4,7.532
139,14,4,7.225
85,82,7,12.03483333
49,93,7,31.7885
16,60,11,22.0455
89,42,7,11.84566667
103,43,7,21.65383333
69,53,9,12.131
65,93,9,11.60716667
67,73,9,14.2135
